energy;conductance
0.0086;0.193
0.0088;0.187
0.009;0.181
0.0092;0.175
0.0094;0.168
0.0096;0.162
0.0098;0.155
0.01;0.147
0.0102;0.14
0.0104;0.132
0.0106;0.124
0.0108;0.115
0.011;0.106
0.0112;0.097
0.0114;0.088
0.0116;0.078
0.0118;0.068
0.012;0.058
0.0122;0.049
0.0124;0.039
0.0126;0.03
0.0128;0.021
0.013;0.013
0.0132;0.007
0.0134;0.002
0.0136;0.0
0.0138;0.001
0.014;0.007
0.0142;0.018
0.0144;0.036
0.0146;0.062
0.0148;0.098
0.015;0.144
0.0152;0.201
0.0154;0.269
0.0156;0.346
0.0158;0.431
0.016;0.519
0.0162;0.606
0.0164;0.689
0.0166;0.764
0.0168;0.829
0.017;0.883
0.0172;0.925
0.0174;0.956
0.0176;0.978
0.0178;0.991
0.018;0.998
0.0182;1.0
0.0184;0.997
0.0186;0.992
0.0188;0.984
0.019;0.975
0.0192;0.964
0.0194;0.953
0.0196;0.941
0.0198;0.929
0.02;0.917
0.0202;0.906
0.0204;0.894
0.0206;0.883
0.0208;0.872
0.021;0.861
0.0212;0.851
0.0214;0.841
0.0216;0.832
0.0218;0.823
0.022;0.814
0.0222;0.806
0.0224;0.798
0.0226;0.79
0.0228;0.782
0.023;0.775
0.0232;0.768
0.0234;0.762
0.0236;0.755
0.0238;0.749
0.024;0.743
0.0242;0.738
0.0244;0.732
0.0246;0.727
0.0248;0.722
0.025;0.717
0.0252;0.712
0.0254;0.708
0.0256;0.703
0.0258;0.699
0.026;0.695
0.0262;0.691
0.0264;0.687
0.0266;0.683
0.0268;0.679
0.027;0.676
0.0272;0.672
0.0274;0.669
0.0276;0.666
0.0278;0.663
0.028;0.66
0.0282;0.657
0.0284;0.654
0.0286;0.651
0.0288;0.648
0.029;0.645
0.0292;0.643
0.0294;0.64
0.0296;0.638
0.0298;0.635
0.03;0.633
0.0302;0.63
0.0304;0.628
0.0306;0.626
0.0308;0.623
0.031;0.621
0.0312;0.619
0.0314;0.617
0.0316;0.615
0.0318;0.613
0.032;0.611
0.0322;0.609
0.0324;0.607
0.0326;0.605
0.0328;0.603
0.033;0.601
0.0332;0.6
0.0334;0.598
0.0336;0.596
0.0338;0.594
0.034;0.593
0.0342;0.591
0.0344;0.589
0.0346;0.588
0.0348;0.586
0.035;0.584
0.0352;0.583
0.0354;0.581
0.0356;0.58
0.0358;0.578
0.036;0.577
0.0362;0.575
0.0364;0.574
0.0366;0.572
0.0368;0.571
0.037;0.569
0.0372;0.568
0.0374;0.566
0.0376;0.565
0.0378;0.564
0.038;0.562
0.0382;0.561
0.0384;0.56
0.0386;0.558
0.0388;0.557
0.039;0.556
0.0392;0.554
0.0394;0.553
0.0396;0.552
0.0398;0.55
0.04;0.549
0.0402;0.548
0.0404;0.546
0.0406;0.545
0.0408;0.544
0.041;0.542
0.0412;0.541
0.0414;0.54
0.0416;0.539
0.0418;0.537
0.042;0.536
0.0422;0.535
0.0424;0.534
0.0426;0.532
0.0428;0.531
0.043;0.53
0.0432;0.529
0.0434;0.527
0.0436;0.526
0.0438;0.525
0.044;0.524
0.0442;0.523
0.0444;0.521
0.0446;0.52
0.0448;0.519
0.045;0.518
0.0452;0.516
0.0454;0.515
0.0456;0.514
0.0458;0.513
0.046;0.511
0.0462;0.51
0.0464;0.509
0.0466;0.508
0.0468;0.507
0.047;0.505
0.0472;0.504
0.0474;0.503
0.0476;0.502
0.0478;0.5
0.048;0.499
0.0482;0.498
0.0484;0.497
0.0486;0.495
0.0488;0.494
0.049;0.493
0.0492;0.492
0.0494;0.49
0.0496;0.489
0.0498;0.488
0.05;0.487
0.0502;0.485
0.0504;0.484
0.0506;0.483
0.0508;0.481
0.051;0.48
0.0512;0.479
0.0514;0.477
0.0516;0.476
0.0518;0.475
0.052;0.474
0.0522;0.472
0.0524;0.471
0.0526;0.47
0.0528;0.468
0.053;0.467
0.0532;0.466
0.0534;0.464
0.0536;0.463
0.0538;0.461
0.054;0.46
0.0542;0.459
0.0544;0.457
0.0546;0.456
0.0548;0.455
0.055;0.453
0.0552;0.452
0.0554;0.45
0.0556;0.449
0.0558;0.447
0.056;0.446
0.0562;0.445
0.0564;0.443
0.0566;0.442
0.0568;0.44
0.057;0.439
0.0572;0.437
0.0574;0.436
0.0576;0.434
0.0578;0.433
0.058;0.431
0.0582;0.43
0.0584;0.428
0.0586;0.427
0.0588;0.425
0.059;0.423
0.0592;0.422
0.0594;0.42
0.0596;0.419
0.0598;0.417
0.06;0.416
0.0602;0.414
0.0604;0.412
0.0606;0.411
0.0608;0.409
0.061;0.407
0.0612;0.406
0.0614;0.404
0.0616;0.402
0.0618;0.401
0.062;0.399
0.0622;0.397
0.0624;0.395
