edge_index;vertex_1_index;vertex_2_index;current
380;131;2581;0.00594146592331809
381;132;2581;-0.0061416890414781305
382;132;2582;0.0061416890414781305
383;133;2560;0.0018121357535154307
384;133;2583;-0.001812135753515431
385;134;2561;0.0004195726001779013
386;134;2583;-0.001044627000067721
387;134;2584;0.0006250543998898197
388;135;2562;0.0024828282413040005
389;135;2584;-0.0017362050916869569
390;135;2585;-0.000746623149617043
391;136;2563;0.0003402390372063774
392;136;2585;0.0002172399212223028
393;136;2586;-0.0005574789584286802
394;137;2564;0.0007621097432257548
395;137;2586;-0.0021060591119793966
396;137;2587;0.0013439493687536419
397;138;2565;0.0022405036727446747
398;138;2587;-0.0017826686109404396
399;138;2588;-0.00045783506180423515
400;139;2566;4.0088871765532314e-05
401;139;2588;1.2160113170041418e-05
402;139;2589;-5.224898493557374e-05
403;140;2567;0.0002910760491434027
404;140;2589;-0.002480660546577471
405;140;2590;0.0021895844974340684
406;141;2568;0.0021895844974340667
407;141;2590;-0.0024105335489068395
408;141;2591;0.00022094905147277267
409;142;2569;-6.132879009412032e-05
410;142;2591;6.06097496438661e-06
411;142;2592;5.526781512973371e-05
412;143;2570;-0.0006672766085174023
413;143;2592;-0.0024647712507269836
414;143;2593;0.0031320478592443855
415;144;2571;0.002036557926778297
416;144;2593;-0.0033164977200320794
417;144;2594;0.0012799397932537824
418;145;2572;5.582316112686057e-06
419;145;2594;-2.2407826740304604e-06
420;145;2595;-3.341533438655596e-06
421;146;2573;-0.0019000977678073935
422;146;2595;-0.0021347880233286553
423;146;2596;0.004034885791136049
424;147;2574;0.001672412900967053
425;147;2596;-0.0043021005566456745
426;147;2597;0.002629687655678621
427;148;2575;0.00015493308571169978
428;148;2597;-9.664190866409783e-05
429;148;2598;-5.829117704760192e-05
430;149;2576;-0.003233443992283858
431;149;2598;-0.0016412937568019642
432;149;2599;0.004874737749085821
433;150;2577;0.001154722673137469
434;150;2599;-0.005240913015029337
435;150;2600;0.004086190341891867
436;151;2578;0.00024875505050226424
437;151;2600;-0.0001957576765102175
438;151;2601;-5.2997373992046785e-05
439;152;2579;-0.004627459072808458
440;152;2601;-0.0011065469741146654
441;152;2602;0.0057340060469231215
442;153;2580;0.0005799697351026829
443;153;2602;-0.00611234624105199
444;153;2603;0.0055323765059493045
445;154;2581;0.0002002231181600396
446;154;2603;-0.00018180852695051577
447;154;2604;-1.8414591209523906e-05
448;155;2582;-0.006141689041478131
449;155;2604;-0.0005648533200069014
450;155;2605;0.006706542361485032
451;156;2605;-0.00696191908318766
452;156;2606;0.00696191908318766
453;157;2583;0.0028567627535831517
454;157;2607;-0.002346291935423188
455;157;2608;-0.0005104708181599639
456;158;2584;0.0011111506917971378
457;158;2608;0.00033182808154691174
458;158;2609;-0.0014429787733440493
459;159;2585;0.0005293832283947404
460;159;2609;-0.0015986623011293223
461;159;2610;0.0010692790727345816
462;160;2586;0.002663538070408076
463;160;2610;-0.002096481113453355
464;160;2611;-0.0005670569569547225
465;161;2587;0.00043871924218679824
466;161;2611;0.00014636664101307236
467;161;2612;-0.0005850858831998705
468;162;2588;0.00044567494863419405
469;162;2612;-0.0023142630893354544
470;162;2613;0.0018685881407012606
471;163;2589;0.002532909531513045
472;163;2613;-0.0024715807414189233
473;163;2614;-6.132879009412151e-05
474;164;2590;0.00022094905147277083
475;164;2614;6.06097496438668e-06
476;164;2615;-0.0002270100264371575
477;165;2591;-0.00022701002643715957
478;165;2615;-0.0025445967945452604
479;165;2616;0.0027716068209824203
480;166;2592;0.0024095034355972513
481;166;2616;-0.0032261482908082775
482;166;2617;0.000816644855211027
483;167;2593;0.0001844498607876938
484;167;2617;-4.919627747350573e-05
485;167;2618;-0.00013525358331418808
486;168;2594;-0.0012776990105797521
487;168;2618;-0.0024276672977839343
488;168;2619;0.003705366308363686
489;169;2595;0.002138129556767311
490;169;2619;-0.004158057907517575
491;169;2620;0.002019928350750264
492;170;2596;0.0002672147655096257
493;170;2620;-0.00013356292187042932
494;170;2621;-0.00013365184363919633
495;171;2597;-0.0025330457470145226
496;171;2621;-0.0020726879592208283
497;171;2622;0.004605733706235351
498;172;2598;0.0016995849338495668
499;172;2622;-0.005123436257836552
500;172;2623;0.003423851323986987
501;173;2599;0.00036617526594351585
502;173;2623;-0.00024836825832732124
503;173;2624;-0.00011780700761619467
504;174;2600;-0.003890432665381651
505;174;2624;-0.0016053450040684342
506;174;2625;0.005495777669450084
507;175;2601;0.001159544348106712
508;175;2625;-0.006050385772420363
509;175;2626;0.00489084142431365
510;176;2602;0.00037834019412886816
511;176;2626;-0.0003079572332667436
512;176;2627;-7.038296086212464e-05
513;177;2603;-0.005350567978998788
514;177;2627;-0.0010997175492291765
515;177;2628;0.006450285528227965
516;178;2604;0.0005832679112164253
517;178;2628;-0.006942234881157167
518;178;2629;0.006358966969940733
519;179;2605;0.00025537672170262884
520;179;2629;-0.00023449673821959754
521;179;2630;-2.0879983483031546e-05
522;180;2606;-0.00696191908318766
523;180;2630;-0.0005692169376206072
524;180;2631;0.007531136020808267
525;181;2631;-0.00783567678738006
526;181;2632;0.007835676787380062
527;182;2607;0.002346291935423188
528;182;2633;-0.002346291935423188
529;183;2608;0.00017864273661305198
530;183;2633;-0.0008211008295204567
531;183;2634;0.0006424580929074052
532;184;2609;0.0030416410744733705
533;184;2634;-0.002515478438554257
534;184;2635;-0.0005261626359191135
535;185;2610;0.0010272020407187733
536;185;2635;0.00026566453403352095
537;185;2636;-0.001292866574752294
538;186;2611;0.00042069031594165005
539;186;2636;-0.001957602992719682
540;186;2637;0.0015369126767780321
541;187;2612;0.0028993489725353244
542;187;2637;-0.002649779010584271
543;187;2638;-0.00024956996195105326
544;188;2613;0.000602992600717663
545;188;2638;6.428400779973756e-05
546;188;2639;-0.0006672766085174008
547;189;2614;5.5267815129734826e-05
548;189;2639;-0.002464771250726985
549;189;2640;0.00240950343559725
550;190;2615;0.002771606820982417
551;190;2640;-0.003226148290808273
552;190;2641;0.0004545414698258566
553;191;2616;0.0004545414698258573
554;191;2641;-6.843885841754931e-05
