energy;conductance_lead;conductance_junction
-0.029;1.0;0.484
-0.0288;1.0;0.485
-0.0286;1.0;0.486
-0.0284;1.0;0.487
-0.0282;1.0;0.488
-0.028;1.0;0.489
-0.0278;1.0;0.49
-0.0276;1.0;0.491
-0.0274;1.0;0.492
-0.0272;1.0;0.493
-0.027;1.0;0.494
-0.0268;1.0;0.495
-0.0266;1.0;0.496
-0.0264;1.0;0.497
-0.0262;1.0;0.498
-0.026;1.0;0.5
-0.0258;1.0;0.501
-0.0256;1.0;0.502
-0.0254;1.0;0.503
-0.0252;1.0;0.504
-0.025;1.0;0.505
-0.0248;1.0;0.507
-0.0246;1.0;0.508
-0.0244;1.0;0.509
-0.0242;1.0;0.51
-0.024;1.0;0.512
-0.0238;1.0;0.513
-0.0236;1.0;0.514
-0.0234;1.0;0.516
-0.0232;1.0;0.517
-0.023;1.0;0.518
-0.0228;1.0;0.52
-0.0226;1.0;0.521
-0.0224;1.0;0.523
-0.0222;1.0;0.524
-0.022;1.0;0.526
-0.0218;1.0;0.528
-0.0216;1.0;0.529
-0.0214;1.0;0.531
-0.0212;1.0;0.533
-0.021;1.0;0.534
-0.0208;1.0;0.536
-0.0206;1.0;0.538
-0.0204;1.0;0.54
-0.0202;1.0;0.542
-0.02;1.0;0.544
-0.0198;1.0;0.546
-0.0196;1.0;0.548
-0.0194;1.0;0.55
-0.0192;1.0;0.552
-0.019;1.0;0.555
-0.0188;1.0;0.557
-0.0186;1.0;0.56
-0.0184;1.0;0.562
-0.0182;1.0;0.565
-0.018;1.0;0.568
-0.0178;1.0;0.571
-0.0176;1.0;0.573
-0.0174;1.0;0.577
-0.0172;1.0;0.58
-0.017;1.0;0.583
-0.0168;1.0;0.587
-0.0166;1.0;0.59
-0.0164;1.0;0.594
-0.0162;1.0;0.598
-0.016;1.0;0.603
-0.0158;1.0;0.607
-0.0156;1.0;0.612
-0.0154;1.0;0.617
-0.0152;1.0;0.622
-0.015;1.0;0.627
-0.0148;1.0;0.633
